DATE,url,HN,HNE,HE,HSE,HS,HSW,HW,HNW,MN,MNE,ME,MSE,MS,MSW,MW,MNW,LN,LNE,LE,LSE,LS,LSW,LW,LNW,high,mid,low,problem_1_type,likelihood_1,size_1,HN1,HNE1,HE1,HSE1,HS1,HSW1,HW1,HNW1,MN1,MNE1,ME1,MSE1,MS1,MSW1,MW1,MNW1,LN1,LNE1,LE1,LSE1,LS1,LSW1,LW1,LNW1,high1,mid1,low1,problem_2_type,likelihood_2,size_2,HN2,HNE2,HE2,HSE2,HS2,HSW2,HW2,HNW2,MN2,MNE2,ME2,MSE2,MS2,MSW2,MW2,MNW2,LN2,LNE2,LE2,LSE2,LS2,LSW2,LW2,LNW2,high2,mid2,low2,problem_3_type,likelihood_3,size_3,HN3,HNE3,HE3,HSE3,HS3,HSW3,HW3,HNW3,MN3,MNE3,ME3,MSE3,MS3,MSW3,MW3,MNW3,LN3,LNE3,LE3,LSE3,LS3,LSW3,LW3,LNW3,high3,mid3,low3,ALTA_Station,ALTA_Latitude,ALTA_Longitude,ALTA_Elevation,ALTA_Name,ALTA_Precip_(tenths_mm),ALTA_Snowfall_(mm),ALTA_Snow_Depth_(mm),ALTA_Max_Temp_(tenths_C),ALTA_Min_Temp_(tenths_C),ALTA_Multiday_Prec_Days,ALTA_Multiday_Snowfall_Days,ALTA_Multiday_Prec_Days_(tenths_mm),ALTA_Multiday_Snowfall,ALTA_Temp_at_Observation_(tenths_C),ALTA_Fog_Ice_Fog,ALTA_Heavy_Fog_Freezing_Fog,ALTA_Ice_Pellets_Sleet,ALTA_Hail,ALTA_Glaze_Rime,ALTA_Weather_Type_07,ALTA_Smoke_Haze,ALTA_Blowing_Drifting_Snow,ALTA_High_Winds,ALTA_Snow_Pellets_Ice_Crystals,BRIGHTON_Station,BRIGHTON_Latitude,BRIGHTON_Longitude,BRIGHTON_Elevation,BRIGHTON_Name,BRIGHTON_Precip_(tenths_mm),BRIGHTON_Snow_Depth_(mm),BRIGHTON_Max_Temp_(tenths_C),BRIGHTON_Min_Temp_(tenths_C),BRIGHTON_Avg_Daily_Temp_(tenths_C),BRIGHTON_Temp_at_Observation_(tenths_C),BRIGHTON_Snow_on_Ground_(tenths_mm),THAYNES_Station,THAYNES_Latitude,THAYNES_Longitude,THAYNES_Elevation,THAYNES_Name,THAYNES_Precip_(tenths_mm),THAYNES_Snow_Depth_(mm),THAYNES_Max_Temp_(tenths_C),THAYNES_Min_Temp_(tenths_C),THAYNES_Avg_Daily_Temp_(tenths_C),THAYNES_Temp_at_Observation_(tenths_C),THAYNES_Snow_on_Ground_(tenths_mm),PARLEY_SUMMIT_Station,PARLEY_SUMMIT_Latitude,PARLEY_SUMMIT_Longitude,PARLEY_SUMMIT_Elevation,PARLEY_SUMMIT_Name,PARLEY_SUMMIT_Precip_(tenths_mm),PARLEY_SUMMIT_Snow_Depth_(mm),PARLEY_SUMMIT_Max_Temp_(tenths_C),PARLEY_SUMMIT_Min_Temp_(tenths_C),PARLEY_SUMMIT_Avg_Daily_Temp_(tenths_C),PARLEY_SUMMIT_Temp_at_Observation_(tenths_C),PARLEY_SUMMIT_Snow_on_Ground_(tenths_mm)
2016-11-27,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161127.html,orange,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,2.375,1.625,1.0,Normal Caution,4.0,2.0,orange,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Deep Slap,4.0,2.0,orange,orange,gray,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",277.0,389.0,762.0,-11.0,-72.0,,,,,-72.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",229.0,457.0,-23.0,-72.0,-46.0,-72.0,660.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",127.0,457.0,-19.0,-91.0,-56.0,-90.0,610.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",178.0,330.0,-1.0,-56.0,-27.0,-55.0,610.0
2016-11-28,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161128.html,red,red,red,red,red,red,red,red,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,4.0,3.0,2.0,Normal Caution,4.0,3.0,red,red,red,red,red,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Storm Snow,4.0,2.0,red,red,red,red,red,red,red,red,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Wind Slab,3.0,3.0,orange,orange,gray,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",,,1143.0,,-83.0,,,,,-83.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",152.0,635.0,-53.0,-84.0,-71.0,-84.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",102.0,584.0,-51.0,-98.0,-81.0,-98.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",254.0,533.0,-38.0,-68.0,-52.0,-68.0,864.0
2016-11-29,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161129.html,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,3.0,3.0,2.0,Normal Caution,3.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Storm Snow,3.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Wind Slab,2.0,3.0,orange,orange,gray,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",,152.0,1092.0,-72.0,-100.0,2.0,,119.0,,-100.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,533.0,-56.0,-149.0,-90.0,-146.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,508.0,-46.0,-139.0,-99.0,-131.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,483.0,-35.0,-97.0,-70.0,-96.0,864.0
2016-11-30,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161130.html,orange,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,2.375,2.0,2.0,Storm Snow,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Wind Slab,3.0,2.0,orange,orange,gray,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,965.0,-67.0,-167.0,,,,,-117.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,457.0,-36.0,-150.0,-98.0,-88.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,457.0,-49.0,-132.0,-92.0,-86.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,-27.0,-104.0,-68.0,-66.0,864.0
2016-12-01,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161201.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,2.0,2.0,1.0,Storm Snow,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,3.0,2.0,yellow,yellow,gray,gray,gray,gray,gray,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",25.0,102.0,1016.0,-78.0,-122.0,,,,,-106.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,432.0,-47.0,-113.0,-81.0,-113.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,432.0,-23.0,-120.0,-83.0,-119.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,-35.0,-90.0,-62.0,-89.0,864.0
2016-12-02,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161202.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,2.0,1.0,1.0,Wind Slab,2.0,2.0,yellow,yellow,green,green,green,green,green,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Normal Caution,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",5.0,25.0,940.0,-61.0,-133.0,,,,,-117.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,432.0,-34.0,-149.0,-106.0,-137.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,432.0,-77.0,-135.0,-113.0,-112.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,381.0,-50.0,-98.0,-80.0,-97.0,864.0
2016-12-03,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161203.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,2.0,1.0,1.0,Wind Slab,1.0,2.0,yellow,yellow,gray,gray,gray,gray,gray,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,Normal Caution,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,864.0,-61.0,-156.0,,,,,-83.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,406.0,-54.0,-144.0,-88.0,-103.0,838.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,432.0,-53.0,-116.0,-81.0,-73.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,356.0,-42.0,-100.0,-66.0,-72.0,864.0
2016-12-04,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161204.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,2.0,1.0,1.0,Normal Caution,2.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,1.0,2.0,yellow,yellow,gray,gray,gray,gray,gray,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,813.0,-22.0,-117.0,,,,,-28.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",51.0,381.0,39.0,-107.0,-31.0,2.0,864.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,406.0,23.0,-74.0,-18.0,-11.0,762.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",25.0,381.0,29.0,-73.0,-13.0,17.0,889.0
2016-12-05,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161205.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,2.0,1.625,1.0,Normal Caution,3.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Deep Slap,1.0,2.0,green,green,gray,gray,gray,gray,gray,green,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,Cornice Fall,2.0,2.0,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",51.0,30.0,787.0,-6.0,-150.0,,,,,-133.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,406.0,5.0,-144.0,-89.0,-119.0,864.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",51.0,432.0,-10.0,-148.0,-103.0,-117.0,813.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,356.0,18.0,-118.0,-73.0,-102.0,889.0
2016-12-06,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161206.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,2.0,1.0,1.0,Normal Caution,3.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",25.0,51.0,838.0,-67.0,-156.0,,,,,-122.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,406.0,-47.0,-133.0,-101.0,-124.0,864.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,457.0,-56.0,-144.0,-111.0,-138.0,813.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,356.0,-52.0,-123.0,-94.0,-102.0,889.0
2016-12-07,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161207.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,2.0,1.0,1.0,Normal Caution,3.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",46.0,89.0,864.0,-111.0,-189.0,,,,,-189.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",51.0,406.0,-92.0,-181.0,-140.0,-138.0,914.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,457.0,-97.0,-167.0,-144.0,-140.0,813.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,356.0,-87.0,-148.0,-117.0,-148.0,889.0
2016-12-08,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161208.html,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,1.0,1.0,1.0,Normal Caution,1.0,1.0,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",38.0,25.0,813.0,-22.0,-206.0,,,,,-22.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",51.0,432.0,7.0,-149.0,-62.0,-7.0,991.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",127.0,483.0,-7.0,-146.0,-65.0,-14.0,940.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",25.0,381.0,-11.0,-150.0,-80.0,-13.0,914.0
2016-12-09,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161209.html,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,3.0,2.625,2.0,Normal Caution,4.0,3.0,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Storm Snow,4.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",269.0,145.0,914.0,0.0,-33.0,,,,,-17.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",102.0,483.0,36.0,-16.0,4.0,29.0,1092.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",51.0,508.0,20.0,-21.0,-3.0,15.0,991.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",51.0,381.0,47.0,-15.0,11.0,37.0,965.0
2016-12-10,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161210.html,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,3.0,2.0,2.0,Normal Caution,4.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Deep Slap,3.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",297.0,180.0,1067.0,,-22.0,,,,,-17.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",432.0,762.0,40.0,-28.0,8.0,-14.0,1524.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",356.0,787.0,26.0,-34.0,-2.0,-27.0,1346.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",381.0,483.0,49.0,-15.0,12.0,-13.0,1270.0
2016-12-11,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161211.html,red,red,red,red,red,red,red,red,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,4.0,3.0,2.0,Normal Caution,5.0,3.0,red,red,red,red,red,red,red,red,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Wind Slab,2.0,3.0,orange,orange,orange,gray,gray,gray,gray,orange,orange,orange,orange,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,Deep Slap,2.0,2.0,orange,orange,orange,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",239.0,193.0,1194.0,-11.0,-78.0,,,,,-67.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",51.0,737.0,-14.0,-57.0,-39.0,-36.0,1575.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",25.0,737.0,-27.0,-68.0,-50.0,-42.0,1372.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",25.0,584.0,-11.0,-48.0,-30.0,-33.0,1295.0
2016-12-12,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161212.html,orange,orange,orange,orange,orange,yellow,yellow,orange,orange,orange,orange,yellow,yellow,yellow,yellow,orange,green,green,green,green,green,green,green,green,2.75,2.5,1.0,Deep Slap,2.0,2.0,orange,orange,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,2.0,3.0,orange,orange,orange,gray,gray,gray,gray,orange,orange,orange,orange,gray,gray,gray,gray,orange,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,Normal Caution,2.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,1143.0,-11.0,-89.0,,,,,-89.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,711.0,-2.0,-113.0,-47.0,-87.0,1575.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,737.0,-26.0,-96.0,-58.0,-91.0,1372.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,559.0,-10.0,-90.0,-45.0,-89.0,1295.0
2016-12-13,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161213.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,yellow,green,green,green,green,green,green,green,green,2.0,1.75,1.0,Normal Caution,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Deep Slap,2.0,2.0,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,1.0,3.0,yellow,yellow,yellow,green,green,green,green,yellow,yellow,yellow,yellow,green,green,green,green,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,1092.0,-22.0,-133.0,,,,,-39.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,660.0,6.0,-108.0,-35.0,-25.0,1575.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,686.0,-3.0,-91.0,-41.0,-32.0,1372.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,533.0,1.0,-90.0,-43.0,-29.0,1295.0
2016-12-14,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20161214.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,2.0,2.0,1.0,Normal Caution,2.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Deep Slap,2.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",114.0,124.0,1219.0,-6.0,-61.0,,,,,-6.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",178.0,737.0,49.0,-50.0,1.0,39.0,1727.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",102.0,737.0,42.0,-61.0,-2.0,37.0,1448.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",51.0,559.0,56.0,-39.0,-3.0,27.0,1321.0
